,lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
22,-68.188,-21.288,0.0,201.0,-68.188,-21.288,0.048,918.0,-71.08,-21.84,8.97,-1.09,1.95,173.91,0.18,78.46,911.0,201.0,30.37,30.37,8.97,-0.17,-1.94,0.21,-7.02,0.37,7.02,0.04,53.13,0.13,37.23,123.9,2.22,SA_Volcanics
23,-69.0,-37.1,1.0,2901.0,-68.82300000000001,-37.047,0.073,810.0,-73.72,-35.68,8.99,-32.37,1.73,138.72,0.19,111.33,911.0,201.0,16.18,16.18,7.59,-4.81,-1.3,1.14,-7.29,-30.2,6.3,-3.67,35.42,0.1,89.99,99.18,1.9,SA_Volcanics
24,-68.295,-21.319000000000006,1.0,201.0,-68.115,-21.266,0.046,913.0,-70.9,-21.79,8.96,-0.94,1.95,174.05,0.18,78.47,911.0,201.0,30.37,30.37,8.96,-0.15,-1.94,0.2,-7.02,0.52,7.02,0.06,54.13,0.13,32.75,125.1,2.22,SA_Volcanics
25,-73.17,-45.1,2.0,283.0,-72.814,-44.994,0.031,723.0,-75.27,-45.37,8.72,5.38,1.52,173.0,0.14,74.32,911.0,201.0,6.25,6.25,8.68,0.82,-1.51,0.19,-7.25,8.02,7.17,1.01,7.48,0.04,38.72,79.31,0.67,SA_Volcanics
26,-72.97,-45.9,2.0,283.0,-72.615,-45.794,0.031,730.0,-75.19,-45.73,8.71,-13.26,1.51,154.28,0.16,92.89,911.0,201.0,5.88,5.88,8.47,-2.0,-1.36,0.66,-7.24,-10.62,7.12,-1.33,1.95,0.02,13.64,65.47,0.8,SA_Volcanics
27,-72.88,-44.08,2.0,283.0,-72.524,-43.974,0.034,729.0,-75.2,-43.56,8.79,-23.29,1.56,144.94,0.2,103.02,911.0,201.0,8.11,8.11,8.07,-3.47,-1.28,0.9,-7.27,-20.72,6.8,-2.57,13.3,0.07,85.57,61.63,1.14,SA_Volcanics
28,-72.6,-41.01,2.0,283.0,-72.244,-40.904,0.033,756.0,-74.7,-40.72,8.88,-18.37,1.62,150.89,0.18,97.96,911.0,201.0,10.97,10.97,8.43,-2.8,-1.42,0.79,-7.29,-15.94,7.01,-2.0,17.9,0.07,92.4,75.05,1.55,SA_Volcanics
29,-72.53,-44.3,2.0,283.0,-72.175,-44.194,0.039,722.0,-75.28,-43.83,8.78,-22.13,1.56,145.98,0.12,101.9,911.0,201.0,7.83,7.83,8.13,-3.31,-1.29,0.87,-7.27,-19.54,6.85,-2.43,13.3,0.04,85.57,61.63,1.14,SA_Volcanics
30,-72.225,-41.3,2.0,283.0,-71.869,-41.194,0.038,755.0,-74.74,-40.9,8.87,-18.38,1.62,150.81,0.18,97.99,911.0,201.0,10.79,10.79,8.42,-2.8,-1.41,0.79,-7.29,-15.94,7.01,-2.0,17.9,0.07,92.4,75.05,1.55,SA_Volcanics
31,-72.12,-40.59,2.0,283.0,-71.764,-40.484,0.038,761.0,-74.65,-40.41,8.89,-17.49,1.63,151.88,0.15,97.07,911.0,201.0,11.29,11.29,8.48,-2.67,-1.44,0.77,-7.29,-15.07,7.04,-1.9,21.66,0.07,95.91,75.05,1.6,SA_Volcanics
32,-72.0,-40.35,2.0,283.0,-71.64399999999998,-40.244,0.04,764.0,-74.64,-40.24,8.89,-8.81,1.63,160.61,0.18,88.38,911.0,201.0,11.45,11.45,8.79,-1.36,-1.54,0.54,-7.29,-6.4,7.25,-0.81,21.66,0.08,95.91,75.05,1.6,SA_Volcanics
33,-71.95,-39.42,2.0,283.0,-71.594,-39.314,0.04,771.0,-74.47,-38.82,8.93,-22.7,1.66,147.16,0.14,102.23,911.0,201.0,12.88,12.88,8.24,-3.44,-1.4,0.9,-7.3,-20.34,6.84,-2.54,24.23,0.06,99.84,80.99,1.65,SA_Volcanics
34,-71.8,-37.38,2.0,2901.0,-71.444,-37.274,0.036000000000000004,787.0,-73.95,-36.71,8.97,-26.19,1.7,144.43,0.19,105.5,911.0,201.0,15.05,15.05,8.05,-3.96,-1.39,0.99,-7.29,-23.95,6.67,-2.96,32.37,0.1,83.9,94.33,1.82,SA_Volcanics
35,-71.6,-38.4,2.0,283.0,-71.244,-38.294,0.042,776.0,-74.3,-38.19,8.94,-12.86,1.67,157.24,0.16,92.32,911.0,201.0,13.54,13.54,8.72,-1.99,-1.54,0.65,-7.3,-10.54,7.17,-1.33,31.22,0.09,106.28,91.29,1.68,SA_Volcanics
36,-71.27,-36.2,2.0,2901.0,-70.914,-36.094,0.038,798.0,-73.37,-35.28,8.99,-32.19,1.73,139.02,0.19,111.24,911.0,201.0,16.55,16.55,7.61,-4.79,-1.31,1.13,-7.29,-30.05,6.31,-3.65,35.58,0.1,79.87,99.42,1.93,SA_Volcanics
37,-71.0,-36.0,2.0,2901.0,-70.64399999999998,-35.894,0.04,799.0,-73.29,-35.1,8.99,-32.18,1.73,139.11,0.19,111.19,911.0,201.0,16.74,16.74,7.61,-4.79,-1.31,1.13,-7.29,-30.06,6.31,-3.65,35.58,0.1,79.87,99.42,1.93,SA_Volcanics
38,-70.85,-35.58,2.0,2901.0,-70.494,-35.47400000000001,0.04,803.0,-73.12,-34.75,9.0,-32.16,1.74,139.28,0.19,111.1,911.0,201.0,17.12,17.12,7.62,-4.79,-1.32,1.13,-7.28,-30.07,6.3,-3.65,35.58,0.1,79.87,99.42,1.93,SA_Volcanics
39,-70.778,-44.717,2.0,283.0,-70.42699999999998,-44.611,0.061,726.0,-75.23,-45.49,8.72,0.65,1.52,168.25,0.11,79.02,911.0,201.0,6.13,6.13,8.72,0.1,-1.48,0.31,-7.24,3.28,7.23,0.41,7.48,0.03,13.64,79.31,0.8,SA_Volcanics
40,-70.67399999999998,-46.59,2.0,28800.0,-70.32300000000001,-46.485,0.06,725.0,-75.23,-46.07,8.69,-20.38,1.5,147.03,0.19,100.02,911.0,201.0,5.55,5.55,8.15,-3.03,-1.26,0.82,-7.23,-17.73,6.89,-2.2,1.95,0.02,13.64,65.47,0.8,SA_Volcanics
41,-70.67,-35.6,2.0,2901.0,-70.314,-35.494,0.042,804.0,-73.04,-34.58,9.0,-32.15,1.74,139.37,0.19,111.05,911.0,201.0,17.31,17.31,7.62,-4.79,-1.32,1.13,-7.28,-30.07,6.3,-3.65,35.58,0.1,79.87,99.42,1.93,SA_Volcanics
42,-70.593,-35.952,2.0,2901.0,-70.238,-35.846,0.045,801.0,-73.21,-34.93,9.0,-32.17,1.74,139.2,0.19,111.15,911.0,201.0,16.93,16.93,7.61,-4.79,-1.31,1.13,-7.28,-30.06,6.3,-3.65,35.58,0.1,79.87,99.42,1.93,SA_Volcanics
43,-70.57,-35.24,2.0,2901.0,-70.214,-35.134,0.041,807.0,-72.88,-34.23,9.0,-32.14,1.75,139.54,0.19,110.96,911.0,201.0,17.68,17.68,7.62,-4.79,-1.33,1.13,-7.28,-30.08,6.3,-3.65,36.38,0.1,70.37,100.67,2.0,SA_Volcanics
44,-70.5,-35.0,2.0,2901.0,-70.14399999999999,-34.894,0.041,809.0,-72.8,-34.05,9.01,-32.13,1.75,139.62,0.19,110.91,911.0,201.0,17.87,17.87,7.63,-4.79,-1.33,1.13,-7.28,-30.09,6.3,-3.65,36.38,0.1,70.37,100.67,2.0,SA_Volcanics
45,-70.432,-42.058,2.0,283.0,-70.079,-41.952,0.062,749.0,-74.83,-41.58,8.85,-17.22,1.6,151.75,0.17,96.84,911.0,201.0,10.11,10.11,8.46,-2.62,-1.41,0.76,-7.29,-14.74,7.05,-1.85,15.06,0.07,86.97,65.72,1.55,SA_Volcanics
46,-70.266,-42.15,2.0,283.0,-69.914,-42.044,0.064,748.0,-74.86,-41.75,8.85,-17.23,1.6,151.68,0.17,96.86,911.0,201.0,9.93,9.93,8.45,-2.62,-1.41,0.76,-7.28,-14.75,7.05,-1.85,15.06,0.07,86.97,65.72,1.55,SA_Volcanics
47,-70.124,-37.302,2.0,2901.0,-69.77,-37.196,0.059,789.0,-73.82,-36.35,8.97,-26.17,1.71,144.59,0.19,105.43,911.0,201.0,15.42,15.42,8.05,-3.96,-1.39,0.99,-7.29,-23.95,6.66,-2.96,33.34,0.1,83.9,95.89,1.93,SA_Volcanics
48,-69.947,-37.142,2.0,2901.0,-69.593,-37.036,0.06,791.0,-73.76,-36.17,8.98,-26.16,1.71,144.67,0.19,105.39,911.0,201.0,15.61,15.61,8.06,-3.96,-1.4,0.99,-7.29,-23.95,6.66,-2.96,33.34,0.1,83.9,95.89,1.93,SA_Volcanics
49,-69.863,-42.863,2.0,283.0,-69.512,-42.758,0.07,742.0,-74.97,-42.44,8.83,-17.27,1.58,151.39,0.17,96.94,911.0,201.0,9.23,9.23,8.43,-2.62,-1.39,0.76,-7.28,-14.76,7.04,-1.85,15.06,0.07,86.97,65.72,1.49,SA_Volcanics
50,-69.861,-36.753,2.0,2901.0,-69.507,-36.647,0.06,795.0,-73.54,-35.63,8.99,-32.21,1.72,138.85,0.19,111.34,911.0,201.0,16.18,16.18,7.6,-4.79,-1.3,1.13,-7.29,-30.04,6.31,-3.65,35.58,0.1,83.9,99.42,1.93,SA_Volcanics
51,-69.85600000000001,-35.465,2.0,2901.0,-69.502,-35.359,0.052000000000000005,806.0,-72.96,-34.4,9.0,-32.14,1.74,139.45,0.19,111.01,911.0,201.0,17.5,17.5,7.62,-4.79,-1.33,1.13,-7.28,-30.08,6.3,-3.65,36.38,0.1,70.37,100.67,2.0,SA_Volcanics
52,-68.919,-35.24,2.0,2901.0,-68.566,-35.135,0.064,811.0,-72.72,-33.87,9.01,-32.12,1.75,139.7,0.19,110.87,911.0,201.0,18.06,18.06,7.63,-4.79,-1.34,1.13,-7.28,-30.1,6.29,-3.65,38.6,0.1,70.37,104.08,2.0,SA_Volcanics
53,-68.85600000000001,-19.15,2.0,201.0,-68.49600000000001,-19.045,0.045,873.0,-71.01,-20.02,8.91,8.04,1.97,-176.87,0.18,69.74,911.0,201.0,31.62,32.12,8.83,1.25,-1.97,-0.11,-6.95,9.49,6.86,1.15,58.25,0.14,31.29,129.74,2.17,SA_Volcanics
54,-68.664,-35.021,2.0,2901.0,-68.311,-34.916,0.066,812.0,-72.64,-33.7,9.01,-32.11,1.76,139.79,0.19,110.82,911.0,201.0,18.25,18.25,7.63,-4.79,-1.34,1.13,-7.27,-30.11,6.29,-3.65,38.6,0.1,70.37,104.08,2.0,SA_Volcanics
55,-68.617,-20.767,2.0,201.0,-68.258,-20.662,0.043,883.0,-70.89,-20.87,8.93,-10.72,1.96,164.31,0.17,88.47,911.0,201.0,31.26,31.26,8.78,-1.66,-1.89,0.53,-6.98,-9.26,6.89,-1.12,56.86,0.13,31.27,128.21,2.17,SA_Volcanics
56,-68.575,-24.765,2.0,202.0,-68.217,-24.66,0.044,875.0,-70.98,-24.51,9.0,-17.94,1.91,156.46,0.2,95.82,911.0,201.0,27.58,27.58,8.56,-2.77,-1.75,0.76,-7.1,-16.38,6.81,-2.0,50.82,0.14,35.85,121.06,2.21,SA_Volcanics
57,-68.56,-25.14,2.0,202.0,-68.203,-25.035,0.045,872.0,-71.02,-24.9,9.0,-17.93,1.9,156.39,0.2,95.84,911.0,201.0,27.19,27.19,8.57,-2.77,-1.74,0.76,-7.11,-16.35,6.82,-2.0,50.82,0.14,35.85,121.06,2.21,SA_Volcanics
58,-68.558,-24.684,2.0,202.0,-68.20100000000001,-24.579,0.044,876.0,-70.96,-24.32,9.0,-17.95,1.91,156.5,0.2,95.81,911.0,201.0,27.77,27.77,8.56,-2.77,-1.75,0.76,-7.1,-16.39,6.81,-2.0,52.44,0.14,32.96,123.03,2.19,SA_Volcanics
59,-68.51899999999999,-25.125,2.0,202.0,-68.16199999999999,-25.02,0.045,874.0,-71.0,-24.71,9.0,-17.94,1.91,156.43,0.2,95.83,911.0,201.0,27.38,27.38,8.56,-2.77,-1.75,0.76,-7.11,-16.37,6.82,-2.0,50.82,0.14,35.85,121.06,2.21,SA_Volcanics
60,-68.512,-21.903,2.0,201.0,-68.153,-21.798,0.041,899.0,-70.71,-21.91,8.96,-17.12,1.95,157.84,0.18,94.81,911.0,201.0,30.2,30.2,8.56,-2.64,-1.8,0.73,-7.02,-15.66,6.76,-1.9,55.42,0.13,31.27,126.59,2.17,SA_Volcanics
61,-68.5,-20.933000000000003,2.0,201.0,-68.141,-20.828000000000007,0.044,891.0,-70.8,-21.39,8.95,-0.79,1.95,174.21,0.18,78.5,911.0,201.0,30.73,30.73,8.95,-0.12,-1.94,0.2,-7.0,0.67,7.0,0.08,56.86,0.14,31.27,128.21,2.17,SA_Volcanics
62,-68.467,-21.2,2.0,201.0,-68.108,-21.095,0.044,898.0,-70.72,-21.73,8.95,-0.79,1.95,174.19,0.18,78.47,911.0,201.0,30.37,30.37,8.95,-0.12,-1.94,0.2,-7.02,0.67,7.02,0.08,55.42,0.13,31.27,126.59,2.17,SA_Volcanics
63,-68.452,-24.471,2.0,202.0,-68.095,-24.365,0.045,878.0,-70.93,-24.13,8.99,-17.95,1.91,156.54,0.2,95.8,911.0,201.0,27.97,27.97,8.56,-2.77,-1.76,0.76,-7.09,-16.41,6.8,-2.0,52.44,0.14,32.96,123.03,2.19,SA_Volcanics
64,-68.328,-24.297,2.0,202.0,-67.97,-24.192,0.047,879.0,-70.91,-23.93,8.99,-17.96,1.92,156.58,0.2,95.79,911.0,201.0,28.16,28.16,8.55,-2.77,-1.76,0.76,-7.09,-16.42,6.8,-2.0,52.44,0.14,32.96,123.03,2.19,SA_Volcanics
65,-68.319,-24.137,2.0,202.0,-67.962,-24.032,0.047,884.0,-70.89,-23.74,8.99,-17.96,1.92,156.61,0.2,95.78,911.0,201.0,28.36,28.36,8.55,-2.77,-1.76,0.76,-7.08,-16.43,6.79,-2.0,52.44,0.14,32.96,123.03,2.19,SA_Volcanics
66,-68.02600000000001,-22.876,2.0,201.0,-67.668,-22.771,0.05,895.0,-70.76,-22.44,8.97,-17.1,1.94,157.75,0.18,94.83,911.0,201.0,29.66,29.66,8.57,-2.64,-1.79,0.73,-7.04,-15.62,6.78,-1.9,55.42,0.13,31.27,126.59,2.17,SA_Volcanics
67,-67.953,-22.414,2.0,201.0,-67.595,-22.309,0.051,896.0,-70.74,-22.26,8.96,-17.11,1.94,157.78,0.18,94.82,911.0,201.0,29.84,29.84,8.57,-2.64,-1.8,0.73,-7.03,-15.64,6.77,-1.9,55.42,0.13,31.27,126.59,2.17,SA_Volcanics
68,-67.818,-23.371,2.0,202.0,-67.46,-23.266,0.054000000000000006,890.0,-70.81,-22.97,8.98,-17.08,1.93,157.66,0.18,94.85,911.0,201.0,29.13,29.13,8.58,-2.64,-1.79,0.73,-7.06,-15.58,6.8,-1.9,53.94,0.13,31.47,124.86,2.18,SA_Volcanics
69,-67.709,-25.616,2.0,202.0,-67.352,-25.511,0.059,870.0,-71.06,-25.29,9.01,-17.92,1.9,156.31,0.2,95.86,911.0,201.0,26.8,26.8,8.57,-2.77,-1.74,0.76,-7.12,-16.33,6.84,-2.0,50.82,0.14,35.85,121.06,2.21,SA_Volcanics
70,-67.6,-24.0,2.0,202.0,-67.243,-23.895,0.058,886.0,-70.87,-23.54,8.99,-17.97,1.92,156.65,0.2,95.77,911.0,201.0,28.56,28.56,8.55,-2.77,-1.77,0.76,-7.07,-16.45,6.78,-2.0,52.44,0.14,32.96,123.03,2.19,SA_Volcanics
71,-70.285,-41.534,3.0,283.0,-69.757,-41.37600000000001,0.064,751.0,-74.61,-41.19,8.86,-14.39,1.61,154.65,0.16,94.18,911.0,201.0,10.44,10.44,8.58,-2.2,-1.45,0.69,-7.29,-11.93,7.13,-1.51,18.35,0.07,90.53,71.41,1.56,SA_Volcanics
72,-70.13,-45.63,3.0,283.0,-69.60600000000001,-45.472,0.066,730.0,-75.01,-45.68,8.71,-13.09,1.5,154.4,0.16,92.9,911.0,201.0,5.88,5.88,8.48,-1.97,-1.36,0.65,-7.24,-10.45,7.12,-1.31,2.71,0.03,6.23,67.08,0.73,SA_Volcanics
73,-70.1,-41.0,3.0,283.0,-69.572,-40.842,0.065,761.0,-74.47,-40.35,8.88,-17.33,1.62,152.0,0.15,97.07,911.0,201.0,11.29,11.29,8.48,-2.65,-1.43,0.76,-7.3,-14.91,7.05,-1.88,20.51,0.07,91.45,74.85,1.61,SA_Volcanics
74,-70.0,-41.4,3.0,283.0,-69.473,-41.242,0.067,756.0,-74.52,-40.67,8.88,-18.21,1.62,151.01,0.18,97.97,911.0,201.0,10.97,10.97,8.43,-2.77,-1.41,0.78,-7.29,-15.77,7.02,-1.98,20.51,0.08,90.53,71.41,1.56,SA_Volcanics
75,-70.0,-42.0,3.0,283.0,-69.473,-41.842,0.068,749.0,-74.65,-41.52,8.85,-17.05,1.6,151.87,0.17,96.85,911.0,201.0,10.11,10.11,8.46,-2.6,-1.41,0.75,-7.29,-14.58,7.05,-1.83,15.51,0.07,85.01,71.41,1.55,SA_Volcanics
76,-69.887,-43.67,3.0,283.0,-69.362,-43.512,0.071,734.0,-74.92,-43.16,8.8,-15.92,1.56,152.41,0.11,95.79,911.0,201.0,8.46,8.46,8.46,-2.41,-1.39,0.72,-7.28,-13.37,7.08,-1.68,15.01,0.04,84.65,65.75,1.55,SA_Volcanics
77,-69.358,-41.76600000000001,3.0,283.0,-68.833,-41.609,0.076,750.0,-74.63,-41.36,8.86,-14.4,1.6,154.58,0.16,94.19,911.0,201.0,10.28,10.28,8.58,-2.2,-1.45,0.69,-7.29,-11.93,7.13,-1.51,18.35,0.07,90.53,71.41,1.56,SA_Volcanics
78,-69.288,-42.262,3.0,283.0,-68.763,-42.105,0.077,748.0,-74.68,-41.7,8.85,-17.06,1.59,151.8,0.17,96.87,911.0,201.0,9.93,9.93,8.46,-2.6,-1.41,0.75,-7.29,-14.58,7.05,-1.83,15.51,0.07,85.01,71.41,1.55,SA_Volcanics
79,-68.955,-45.257,3.0,283.0,-68.434,-45.1,0.081,728.0,-75.02,-45.55,8.71,0.82,1.51,168.34,0.11,79.0,911.0,201.0,6.01,6.01,8.71,0.12,-1.48,0.3,-7.25,3.46,7.23,0.44,2.71,0.02,6.23,67.08,0.73,SA_Volcanics
80,-68.8,-40.3,3.0,283.0,-68.275,-40.143,0.08199999999999999,764.0,-74.46,-40.19,8.89,-8.64,1.63,160.73,0.18,88.39,911.0,201.0,11.45,11.45,8.79,-1.34,-1.54,0.54,-7.3,-6.23,7.25,-0.79,20.51,0.08,91.45,74.85,1.61,SA_Volcanics
81,-68.5,-39.8,3.0,283.0,-67.975,-39.643,0.087,771.0,-74.29,-38.77,8.92,-22.54,1.66,147.29,0.14,102.23,911.0,201.0,12.88,12.88,8.24,-3.42,-1.39,0.9,-7.3,-20.18,6.85,-2.52,23.29,0.06,93.9,78.99,1.63,SA_Volcanics
82,-70.5,-33.375,25.0,2901.0,-64.712,-33.186,0.032,835.0,-66.91,-32.92,8.55,-28.23,2.71,-172.79,0.2,95.4,902.0,201.0,23.17,23.17,7.53,-4.04,-2.69,-0.34,-6.54,-42.16,4.85,-4.39,55.52,0.13,5.77,126.58,2.28,SA_Volcanics
83,-70.66,-33.385,26.0,2901.0,-64.586,-33.249,0.03,808.0,-66.63,-32.97,9.67,-24.69,2.71,-172.64,0.2,95.34,902.0,201.0,22.8,22.8,8.79,-4.04,-2.68,-0.35,-7.52,-35.73,6.11,-4.39,56.02,0.15,5.46,127.16,2.29,SA_Volcanics
84,-70.66,-33.385,27.0,2901.0,-64.30199999999999,-33.301,0.03,890.0,-66.35,-33.03,11.07,-21.31,2.71,-172.49,0.2,95.28,902.0,201.0,22.48,22.48,10.31,-4.02,-2.68,-0.35,-8.8,-29.87,7.63,-4.38,53.35,0.17,5.57,124.04,2.24,SA_Volcanics
85,-70.66,-33.385,28.0,2901.0,-64.017,-33.353,0.03,862.0,-66.06,-33.08,11.05,-21.39,2.7,-172.34,0.2,95.23,902.0,201.0,21.09,21.09,10.29,-4.03,-2.68,-0.36,-8.79,-30.03,7.61,-4.4,52.37,0.17,11.55,122.85,2.24,SA_Volcanics
86,-69.999,-42.054,30.0,283.0,-62.598,-42.117,0.068,868.0,-67.81,-41.82,9.76,-24.84,2.6,-170.35,0.17,95.81,902.0,201.0,12.77,12.77,8.85,-4.1,-2.57,-0.44,-7.76,-35.83,6.29,-4.55,36.7,0.11,23.26,100.88,2.0,SA_Volcanics
87,-69.5,-42.5,30.0,283.0,-62.088,-42.556,0.075,866.0,-67.85,-42.16,9.7,-24.99,2.6,-170.31,0.17,95.84,902.0,201.0,12.42,12.42,8.79,-4.1,-2.56,-0.44,-7.72,-36.06,6.24,-4.55,36.7,0.11,22.1,100.88,2.0,SA_Volcanics
